"Timestamp","Email ID","Branch of Visit","Date of Visit","Time of Visit","Gender","Age Group","How often do you visit our store?","Which of the following categories do you usually shop for?","How satisfied are you with the overall cleanliness of our store?","How would you rate the availability of products you need?","How satisfied are you with the behaviour of our staff?","How would you rate the prices of our products compared to other stores?","Have you used our online shopping platform?","Would you recommend our store to others?","How would you rate our store's return policy?","How satisfied are you with the variety of products available?","How likely are you to visit our store again?","",""
"2024/08/06 5:11:00 AM GMT+5:30","derrick14@example.org","Kolkata","2023-06-05","10:02 AM","Male","45-54","Occasioanlly","Home & Kitchen;Stationery","4","3","1","4","Yes","No","5","1","5","",""
"2024/08/06 5:11:24 AM GMT+5:30","xfreeman@example.org","Delhi","2023-09-25","06:26 PM","Female","55-64","Bi-weekly","Clothing","1","1","4","5","No","No","1","3","1","",""
"2024/08/06 5:11:50 AM GMT+5:30","murraydaniel@example.org","Chennai","2023-11-24","08:59 PM","Female","25-34","Occasioanlly","Clothing;Stationery","3","4","3","2","No","Yes","4","3","4","",""
"2024/08/06 5:12:15 AM GMT+5:30","melissa74@example.com","Ahmedabad","2023-07-19","12:59 PM","Male","18-24","Daily","Home & Kitchen","2","3","1","5","Yes","Yes","4","3","2","",""
"2024/08/06 5:12:43 AM GMT+5:30","mferguson@example.org","Kanpur","2023-07-21","02:39 PM","Female","35-44","Weekly","Clothing;Electronics;Home & Kitchen;Toys & Games;Stationery","4","2","3","1","No","Yes","2","3","4","",""
"2024/08/06 5:13:12 AM GMT+5:30","fbruce@example.com","Ahmedabad","2023-05-22","03:14 PM","Male","35-44","Monthly","Groceries;Electronics;Home & Kitchen;Toys & Games","3","1","2","1","No","Yes","4","1","2","",""
"2024/08/06 5:13:36 AM GMT+5:30","lsmith@example.net","Hyderabad","2023-04-03","09:12 AM","Female","65 and above","Daily","Clothing","3","1","1","4","No","No","1","3","2","",""
"2024/08/06 5:14:06 AM GMT+5:30","gcampbell@example.com","Ludhiana","2023-10-25","06:05 PM","Male","Under 18","Bi-weekly","Groceries;Electronics","1","3","4","4","Yes","Yes","1","3","3","",""
"2024/08/06 5:14:35 AM GMT+5:30","fitzpatricktravis@example.com","Kanpur","2023-02-19","05:20 PM","Female","35-44","Occasioanlly","Home & Kitchen;Hygiene & Sanitation;Toys & Games","5","2","1","3","Yes","Yes","5","4","2","",""
"2024/08/06 5:14:59 AM GMT+5:30","kimberlylara@example.com","Lucknow","2023-06-18","03:35 PM","Female","Under 18","Occasioanlly","Clothing","1","1","2","1","No","Yes","1","5","1","",""
"2024/08/06 5:15:25 AM GMT+5:30","bjones@example.com","Hyderabad","2023-11-06","08:06 PM","Female","35-44","Monthly","Groceries;Clothing;Electronics;Hygiene & Sanitation","5","1","4","5","Yes","Yes","2","1","2","",""
"2024/08/06 5:15:52 AM GMT+5:30","wwilliams@example.com","Delhi","2023-01-25","08:28 AM","Male","45-54","Monthly","Groceries;Clothing;Home & Kitchen;Toys & Games;Stationery","2","4","1","5","No","Yes","1","5","1","",""
"2024/08/06 5:16:15 AM GMT+5:30","heather36@example.com","Trivandrum","2023-11-08","12:46 PM","Female","Under 18","Weekly","Groceries","1","1","4","2","Yes","Yes","4","1","2","",""
"2024/08/06 5:16:42 AM GMT+5:30","amanda14@example.com","Delhi","2023-12-17","03:48 PM","Male","25-34","Bi-weekly","Groceries;Electronics;Home & Kitchen;Hygiene & Sanitation;Stationery","4","1","4","5","No","Yes","1","5","5","",""
"2024/08/06 5:17:07 AM GMT+5:30","tstephens@example.org","Kanpur","2023-05-04","01:21 PM","Male","Under 18","Occasioanlly","Clothing;Home & Kitchen;Toys & Games","3","4","3","3","No","Yes","1","1","3","",""
"2024/08/06 5:17:34 AM GMT+5:30","andreaspence@example.net","Chennai","2023-07-09","08:55 PM","Female","Under 18","Bi-weekly","Clothing;Hygiene & Sanitation;Stationery","4","5","5","4","Yes","Yes","4","5","1","",""
"2024/08/06 5:18:00 AM GMT+5:30","marcuscervantes@example.org","Kolkata","2023-08-27","05:28 PM","Female","35-44","Bi-weekly","Electronics;Toys & Games;Stationery","5","2","4","5","No","No","1","2","1","",""
"2024/08/06 5:18:30 AM GMT+5:30","salinaschristina@example.net","Ludhiana","2023-06-23","07:37 PM","Male","55-64","Monthly","Groceries;Clothing;Electronics;Home & Kitchen;Hygiene & Sanitation;Stationery","4","4","3","2","Yes","No","1","5","5","",""
"2024/08/06 5:18:58 AM GMT+5:30","kellydavid@example.com","Jaipur","2023-01-13","05:50 PM","Female","45-54","Monthly","Electronics","3","4","2","3","No","Yes","2","4","5","",""
"2024/08/06 5:19:23 AM GMT+5:30","nguyenkiara@example.org","Mumbai","2023-08-12","03:16 PM","Female","35-44","Daily","Groceries;Home & Kitchen","3","4","4","5","Yes","No","2","1","3","",""
"2024/08/06 5:19:48 AM GMT+5:30","travis39@example.net","Ahmedabad","2023-09-22","07:27 PM","Female","55-64","Monthly","","1","1","1","1","No","Yes","2","2","5","",""
"2024/08/06 5:20:14 AM GMT+5:30","fowlerrichard@example.net","Chennai","2023-12-31","12:49 PM","Female","25-34","Daily","Clothing;Hygiene & Sanitation;Toys & Games;Stationery","5","1","5","5","No","No","5","2","1","",""
"2024/08/06 5:20:42 AM GMT+5:30","zacharynichols@example.com","Lucknow","2023-07-14","02:57 PM","Male","55-64","Daily","Groceries;Electronics;Home & Kitchen;Hygiene & Sanitation;Stationery","5","1","1","3","No","Yes","1","5","1","",""
"2024/08/06 5:21:11 AM GMT+5:30","mistyyoder@example.org","Dehradun","2023-12-24","01:55 PM","Male","65 and above","Bi-weekly","Groceries","2","1","2","1","Yes","Yes","4","4","4","",""
"2024/08/06 5:21:36 AM GMT+5:30","donald85@example.net","Bangalore","2023-03-03","09:23 AM","Male","65 and above","Weekly","Groceries;Clothing;Electronics;Stationery","2","5","2","3","No","No","4","3","4","",""
"2024/08/06 5:22:04 AM GMT+5:30","shane89@example.net","Ludhiana","2023-06-27","05:59 PM","Male","18-24","Monthly","Groceries;Clothing;Electronics;Home & Kitchen;Stationery","2","2","1","3","No","No","4","5","3","",""
"2024/08/06 5:22:29 AM GMT+5:30","meagan97@example.com","Kolkata","2023-03-29","07:16 PM","Female","Under 18","Occasioanlly","Clothing;Toys & Games","5","5","3","5","Yes","No","1","1","1","",""
"2024/08/06 5:22:57 AM GMT+5:30","christian58@example.com","Surat","2023-04-29","09:00 AM","Male","Under 18","Monthly","Groceries;Clothing;Home & Kitchen;Hygiene & Sanitation;Toys & Games","4","3","2","4","Yes","Yes","4","3","4","",""
"2024/08/06 5:23:22 AM GMT+5:30","higginswilliam@example.net","Chennai","2023-03-16","09:07 AM","Male","18-24","Bi-weekly","Groceries;Clothing;Electronics;Stationery","1","5","3","2","Yes","No","5","4","2","",""
"2024/08/06 5:23:46 AM GMT+5:30","qpeterson@example.com","Chennai","2023-04-22","12:11 PM","Male","Under 18","Bi-weekly","Home & Kitchen","4","3","4","3","No","Yes","5","5","2","",""
"2024/08/06 5:24:16 AM GMT+5:30","heatherjohnson@example.com","Ludhiana","2023-08-08","03:07 PM","Male","35-44","Weekly","Clothing;Electronics;Hygiene & Sanitation;Stationery","2","1","5","1","Yes","No","2","4","5","",""
"2024/08/06 5:24:40 AM GMT+5:30","johnnyhernandez@example.org","Delhi","2023-07-30","01:58 PM","Female","25-34","Monthly","Groceries;Home & Kitchen;Stationery","2","4","3","5","Yes","Yes","4","1","5","",""
"2024/08/06 5:25:06 AM GMT+5:30","jbrown@example.net","Lucknow","2023-06-08","05:12 PM","Male","25-34","Bi-weekly","Clothing;Hygiene & Sanitation;Toys & Games;Stationery","4","3","5","1","No","Yes","4","4","3","",""
"2024/08/06 5:25:30 AM GMT+5:30","daychristine@example.net","Ahmedabad","2023-12-24","03:02 PM","Female","65 and above","Monthly","Electronics;Home & Kitchen;Stationery","3","5","3","4","No","Yes","4","3","2","",""
"2024/08/06 5:25:54 AM GMT+5:30","perezrobert@example.org","Jaipur","2023-01-28","05:36 PM","Female","65 and above","Bi-weekly","Hygiene & Sanitation","1","4","4","2","Yes","Yes","4","5","1","",""
"2024/08/06 5:26:20 AM GMT+5:30","javier31@example.org","Ahmedabad","2023-06-15","06:44 PM","Female","18-24","Weekly","Groceries;Home & Kitchen","4","1","3","4","No","Yes","4","4","5","",""
"2024/08/06 5:26:44 AM GMT+5:30","corey94@example.com","Lucknow","2023-07-03","09:18 AM","Female","65 and above","Monthly","Home & Kitchen","1","4","4","3","Yes","Yes","5","2","4","",""
"2024/08/06 5:27:09 AM GMT+5:30","vbrown@example.com","Dehradun","2023-03-23","05:42 PM","Female","45-54","Bi-weekly","Groceries;Clothing;Electronics;Toys & Games","5","5","3","1","No","Yes","1","2","1","",""
"2024/08/06 5:27:34 AM GMT+5:30","mario78@example.com","Ahmedabad","2023-12-04","08:36 AM","Female","18-24","Monthly","Groceries;Home & Kitchen;Hygiene & Sanitation;Toys & Games","4","2","2","1","No","Yes","5","3","4","",""
"2024/08/06 5:27:58 AM GMT+5:30","lisa49@example.org","Delhi","2023-09-23","09:13 AM","Male","55-64","Bi-weekly","Clothing","1","3","5","4","Yes","No","5","3","1","",""
"2024/08/06 5:28:26 AM GMT+5:30","baldwinjames@example.net","Ahmedabad","2023-02-12","01:12 PM","Female","45-54","Daily","Groceries;Electronics;Toys & Games","2","2","5","3","Yes","Yes","4","3","1","",""
"2024/08/06 5:28:53 AM GMT+5:30","christopherlopez@example.org","Surat","2023-06-14","12:22 PM","Male","55-64","Occasioanlly","Home & Kitchen;Hygiene & Sanitation","3","1","5","5","Yes","Yes","5","5","3","",""
"2024/08/06 5:29:23 AM GMT+5:30","william26@example.com","Kanpur","2023-04-19","05:54 PM","Female","25-34","Occasioanlly","Groceries;Electronics;Hygiene & Sanitation;Stationery","3","2","3","1","No","No","4","4","4","",""
"2024/08/06 5:29:50 AM GMT+5:30","jean88@example.net","Jaipur","2023-02-15","09:24 AM","Female","Under 18","Bi-weekly","Groceries;Home & Kitchen;Stationery","5","1","3","1","No","Yes","5","4","2","",""
"2024/08/06 5:30:15 AM GMT+5:30","tkline@example.com","Ahmedabad","2023-12-12","09:13 AM","Male","55-64","Daily","Groceries;Home & Kitchen","5","1","3","1","No","Yes","5","4","4","",""
"2024/08/06 5:30:43 AM GMT+5:30","kimgrimes@example.net","Lucknow","2023-08-14","06:02 PM","Male","35-44","Daily","Groceries;Clothing;Electronics","4","3","2","2","No","No","5","5","3","",""
"2024/08/06 5:31:08 AM GMT+5:30","catherine49@example.net","Kanpur","2023-06-02","08:40 AM","Male","45-54","Bi-weekly","Clothing;Electronics","3","3","3","3","Yes","No","2","1","1","",""
"2024/08/06 5:31:35 AM GMT+5:30","caitlindavis@example.org","Pune","2023-09-07","07:42 PM","Female","18-24","Occasioanlly","Home & Kitchen","4","5","4","3","Yes","Yes","1","4","1","",""
"2024/08/06 5:32:00 AM GMT+5:30","mlin@example.org","Kolkata","2023-04-07","07:57 PM","Male","25-34","Daily","Groceries;Clothing;Electronics;Stationery","3","4","3","4","Yes","No","2","5","1","",""
"2024/08/06 5:32:26 AM GMT+5:30","davidhernandez@example.org","Trivandrum","2023-07-15","03:57 PM","Female","35-44","Weekly","Groceries;Clothing;Home & Kitchen;Stationery","1","4","2","1","No","No","5","4","1","",""
"2024/08/06 5:32:50 AM GMT+5:30","vtorres@example.net","Ludhiana","2023-02-20","05:21 PM","Male","25-34","Monthly","Toys & Games","2","1","1","5","Yes","Yes","5","4","3","",""
"2024/08/06 5:33:14 AM GMT+5:30","cpayne@example.net","Hyderabad","2023-07-10","04:01 PM","Male","55-64","Monthly","Groceries;Hygiene & Sanitation","4","3","4","2","Yes","Yes","2","1","5","",""
"2024/08/06 5:33:38 AM GMT+5:30","karlhaynes@example.com","Trivandrum","2023-07-21","09:09 AM","Male","65 and above","Weekly","Electronics;Home & Kitchen;Stationery","2","3","1","2","No","No","3","5","5","",""
"2024/08/06 5:34:02 AM GMT+5:30","megan64@example.org","Lucknow","2023-01-14","08:01 AM","Female","18-24","Monthly","Hygiene & Sanitation","2","5","4","1","No","Yes","2","5","3","",""
"2024/08/06 5:34:26 AM GMT+5:30","bmclaughlin@example.com","Ludhiana","2023-01-08","08:35 PM","Male","45-54","Monthly","Groceries","1","5","5","3","No","No","5","1","1","",""
"2024/08/06 5:34:49 AM GMT+5:30","kyle23@example.com","Ludhiana","2023-02-28","10:48 AM","Male","Under 18","Weekly","Electronics","3","3","2","3","No","No","2","5","1","",""
"2024/08/06 5:35:13 AM GMT+5:30","tiffanybush@example.org","Ahmedabad","2023-12-30","08:33 PM","Female","55-64","Bi-weekly","Home & Kitchen","4","4","5","5","No","No","1","5","4","",""
"2024/08/06 5:35:40 AM GMT+5:30","brianmartin@example.org","Trivandrum","2023-06-02","02:57 PM","Male","35-44","Daily","Groceries;Hygiene & Sanitation;Stationery","3","3","1","1","No","Yes","5","2","2","",""
"2024/08/06 5:36:05 AM GMT+5:30","maldonadoroberto@example.org","Dehradun","2023-08-14","11:17 AM","Male","18-24","Bi-weekly","Hygiene & Sanitation;Toys & Games","3","5","5","3","Yes","No","4","5","5","",""
"2024/08/06 5:36:29 AM GMT+5:30","kgould@example.com","Trivandrum","2023-03-02","05:28 PM","Female","25-34","Occasioanlly","Hygiene & Sanitation","1","3","1","2","No","Yes","2","4","1","",""
"2024/08/06 5:36:55 AM GMT+5:30","charles61@example.net","Lucknow","2023-09-14","07:09 PM","Female","55-64","Occasioanlly","Groceries;Electronics;Home & Kitchen;Toys & Games","4","4","5","1","No","No","5","5","5","",""
"2024/08/06 5:37:24 AM GMT+5:30","lawsonkaren@example.org","Ahmedabad","2023-09-19","01:47 PM","Male","45-54","Bi-weekly","","4","5","4","1","Yes","No","3","1","5","",""
"2024/08/06 5:37:50 AM GMT+5:30","johnsonjoshua@example.net","Jaipur","2023-11-03","06:06 PM","Female","45-54","Occasioanlly","Clothing;Home & Kitchen;Toys & Games;Stationery","2","4","2","5","No","No","3","2","2","",""
"2024/08/06 5:38:18 AM GMT+5:30","wfrost@example.net","Mumbai","2023-09-27","08:44 PM","Female","45-54","Monthly","Clothing;Electronics;Home & Kitchen;Toys & Games;Stationery","3","1","1","1","Yes","Yes","5","5","5","",""
"2024/08/06 5:38:43 AM GMT+5:30","danielray@example.net","Delhi","2023-08-09","02:13 PM","Male","Under 18","Weekly","Home & Kitchen;Hygiene & Sanitation;Toys & Games;Stationery","5","5","3","5","Yes","Yes","5","2","3","",""
"2024/08/06 5:39:11 AM GMT+5:30","cunninghamlogan@example.com","Chennai","2023-02-05","09:01 AM","Male","35-44","Daily","Groceries;Hygiene & Sanitation;Stationery","2","3","3","2","No","No","5","2","3","",""
"2024/08/06 5:39:36 AM GMT+5:30","bennettbrenda@example.org","Dehradun","2023-05-24","08:10 PM","Female","45-54","Occasioanlly","Groceries;Clothing;Electronics","5","2","3","1","No","No","5","3","3","",""
"2024/08/06 5:40:03 AM GMT+5:30","michaeldickerson@example.net","Surat","2023-01-06","05:31 PM","Female","65 and above","Occasioanlly","Groceries;Hygiene & Sanitation;Stationery","3","4","3","1","Yes","No","2","1","5","",""
"2024/08/06 5:40:29 AM GMT+5:30","erica03@example.net","Pune","2023-11-23","05:48 PM","Female","55-64","Occasioanlly","Clothing;Electronics","3","2","5","5","Yes","No","3","2","2","",""
"2024/08/06 5:40:55 AM GMT+5:30","marcusray@example.com","Lucknow","2023-12-28","03:39 PM","Male","25-34","Monthly","Groceries;Home & Kitchen","1","4","3","5","Yes","No","2","2","5","",""
"2024/08/06 5:41:20 AM GMT+5:30","ggardner@example.net","Mumbai","2023-06-17","03:13 PM","Male","18-24","Bi-weekly","Groceries;Clothing;Electronics;Home & Kitchen;Hygiene & Sanitation;Toys & Games","3","2","4","1","No","No","2","5","4","",""
"2024/08/06 5:41:49 AM GMT+5:30","jpetersen@example.org","Kolkata","2023-08-18","08:42 PM","Female","45-54","Weekly","Clothing;Toys & Games;Stationery","2","2","5","3","No","Yes","3","4","2","",""
"2024/08/06 5:42:16 AM GMT+5:30","tonyfletcher@example.net","Pune","2023-10-14","06:31 PM","Female","45-54","Bi-weekly","Clothing;Electronics;Toys & Games","3","1","4","1","No","Yes","2","4","5","",""
"2024/08/06 5:42:46 AM GMT+5:30","millerfrederick@example.com","Ludhiana","2023-04-15","10:06 AM","Male","Under 18","Daily","Electronics;Home & Kitchen;Hygiene & Sanitation;Stationery","5","5","1","4","Yes","No","4","4","2","",""
"2024/08/06 5:43:16 AM GMT+5:30","haydenrichard@example.net","Trivandrum","2023-03-31","02:09 PM","Female","18-24","Daily","Electronics;Hygiene & Sanitation","3","4","5","4","Yes","Yes","3","1","3","",""
"2024/08/06 5:43:40 AM GMT+5:30","xtrevino@example.net","Trivandrum","2023-03-02","04:47 PM","Male","Under 18","Daily","Electronics","2","1","5","4","Yes","No","5","4","3","",""
"2024/08/06 5:44:04 AM GMT+5:30","richardward@example.org","Ludhiana","2023-07-28","05:32 PM","Female","18-24","Occasioanlly","Clothing;Electronics;Stationery","1","4","1","3","No","No","3","4","4","",""
"2024/08/06 5:44:34 AM GMT+5:30","christina05@example.com","Pune","2023-12-04","04:17 PM","Female","45-54","Daily","Groceries;Electronics;Home & Kitchen;Toys & Games","2","1","3","2","No","Yes","5","5","4","",""
"2024/08/06 5:44:59 AM GMT+5:30","jack84@example.org","Pune","2023-03-18","09:56 AM","Female","35-44","Daily","Clothing;Electronics;Hygiene & Sanitation","2","4","4","2","No","No","2","2","5","",""
"2024/08/06 5:45:29 AM GMT+5:30","ytaylor@example.com","Trivandrum","2023-07-17","12:15 PM","Male","18-24","Occasioanlly","Groceries;Electronics;Home & Kitchen;Toys & Games","5","5","1","1","Yes","No","1","1","4","",""
"2024/08/06 5:45:53 AM GMT+5:30","jkoch@example.org","Lucknow","2023-09-09","05:19 PM","Female","35-44","Monthly","Clothing","4","3","1","2","Yes","Yes","2","1","1","",""
"2024/08/06 5:46:18 AM GMT+5:30","maguilar@example.org","Kanpur","2023-02-22","01:08 PM","Female","55-64","Daily","Groceries;Clothing;Electronics;Hygiene & Sanitation","4","3","4","2","Yes","Yes","4","2","4","",""
"2024/08/06 5:46:44 AM GMT+5:30","olsoneric@example.org","Pune","2023-01-17","04:23 PM","Female","25-34","Monthly","Groceries;Electronics","1","3","2","1","No","Yes","4","5","2","",""
"2024/08/06 5:47:08 AM GMT+5:30","jasoncarroll@example.org","Delhi","2023-10-22","09:34 AM","Male","18-24","Monthly","Home & Kitchen","4","1","1","1","No","Yes","5","5","5","",""
"2024/08/06 5:47:35 AM GMT+5:30","ralph76@example.org","Chennai","2023-01-15","06:51 PM","Male","65 and above","Occasioanlly","Hygiene & Sanitation","4","5","1","4","No","No","5","5","1","",""
"2024/08/06 5:48:01 AM GMT+5:30","michaelreyes@example.net","Hyderabad","2023-06-27","09:46 AM","Female","55-64","Weekly","Clothing;Home & Kitchen;Hygiene & Sanitation;Stationery","1","1","1","5","No","No","4","1","5","",""
"2024/08/06 5:48:28 AM GMT+5:30","colechristopher@example.com","Lucknow","2023-04-05","06:11 PM","Male","Under 18","Weekly","Clothing","5","5","1","2","No","No","5","5","4","",""
"2024/08/06 5:48:51 AM GMT+5:30","jamesarellano@example.org","Kanpur","2023-01-15","01:16 PM","Female","18-24","Monthly","Clothing","3","5","1","3","No","No","2","1","3","",""
"2024/08/06 5:49:20 AM GMT+5:30","clindsey@example.net","Ludhiana","2023-10-26","06:16 PM","Male","18-24","Occasioanlly","Groceries;Clothing;Home & Kitchen;Hygiene & Sanitation;Toys & Games","4","5","3","5","No","No","4","1","5","",""
"2024/08/06 5:49:49 AM GMT+5:30","tiffany11@example.org","Kolkata","2023-09-13","11:36 AM","Female","18-24","Weekly","Electronics;Stationery","5","5","4","2","Yes","No","1","1","3","",""
"2024/08/06 5:50:15 AM GMT+5:30","lloydjohn@example.net","Jaipur","2023-04-29","05:45 PM","Female","55-64","Bi-weekly","Groceries;Home & Kitchen;Hygiene & Sanitation;Toys & Games","1","5","2","3","No","No","3","3","2","",""
"2024/08/06 5:50:40 AM GMT+5:30","eugeneortiz@example.com","Kanpur","2023-03-13","08:37 PM","Female","25-34","Occasioanlly","Clothing;Electronics;Toys & Games","5","4","4","1","Yes","No","2","5","5","",""
"2024/08/06 5:51:09 AM GMT+5:30","joshuaramos@example.org","Ludhiana","2023-02-19","07:59 PM","Male","25-34","Daily","Home & Kitchen;Hygiene & Sanitation","2","2","1","4","No","No","3","5","4","",""
"2024/08/06 5:51:34 AM GMT+5:30","rgray@example.net","Kolkata","2023-12-29","12:20 PM","Male","25-34","Daily","Hygiene & Sanitation;Toys & Games","2","3","2","3","Yes","Yes","4","2","4","",""
"2024/08/06 5:52:04 AM GMT+5:30","bking@example.com","Kanpur","2023-11-30","02:02 PM","Female","55-64","Daily","Clothing;Electronics;Hygiene & Sanitation;Stationery","2","2","1","2","Yes","Yes","4","1","5","",""
"2024/08/06 5:52:31 AM GMT+5:30","akelley@example.org","Chennai","2023-01-28","08:29 PM","Female","35-44","Bi-weekly","Toys & Games","2","5","4","5","Yes","Yes","5","2","3","",""
"2024/08/06 5:52:56 AM GMT+5:30","abarnett@example.com","Delhi","2023-04-18","05:34 PM","Female","Under 18","Monthly","Clothing;Electronics;Toys & Games","3","1","5","3","Yes","No","2","3","2","",""
"2024/08/06 5:53:21 AM GMT+5:30","clarkkaren@example.net","Jaipur","2023-07-11","04:18 PM","Male","35-44","Monthly","Groceries;Clothing;Electronics;Toys & Games","5","5","5","3","No","No","2","4","3","",""
"2024/08/06 5:53:47 AM GMT+5:30","karenstark@example.org","Ludhiana","2023-07-31","11:03 AM","Female","55-64","Bi-weekly","Clothing;Electronics;Hygiene & Sanitation;Toys & Games","2","3","2","3","Yes","No","2","1","4","",""
"2024/08/06 5:54:11 AM GMT+5:30","wgreene@example.com","Lucknow","2023-06-04","05:02 PM","Female","45-54","Occasioanlly","Electronics;Home & Kitchen;Stationery","4","5","5","1","Yes","Yes","5","3","5","",""
"2024/08/06 5:54:41 AM GMT+5:30","erin71@example.org","Surat","2023-10-15","03:18 PM","Male","45-54","Daily","Groceries;Clothing;Toys & Games;Stationery","2","2","2","1","Yes","No","3","5","3","",""
"2024/08/06 5:55:07 AM GMT+5:30","valenzuelasavannah@example.com","Ahmedabad","2023-11-30","10:05 AM","Male","18-24","Monthly","Groceries;Home & Kitchen","1","5","4","5","No","No","4","4","2","",""
"2024/08/06 5:55:32 AM GMT+5:30","rhodeskrystal@example.com","Delhi","2023-10-06","02:10 PM","Male","55-64","Monthly","Clothing","5","3","3","5","No","Yes","5","4","1","",""
"2024/08/06 5:55:56 AM GMT+5:30","ppruitt@example.com","Mumbai","2023-01-13","02:34 PM","Female","Under 18","Occasioanlly","Toys & Games","2","3","2","5","No","No","4","3","3","",""
"2024/08/06 5:56:20 AM GMT+5:30","younglaura@example.net","Jaipur","2023-09-11","03:51 PM","Female","35-44","Occasioanlly","Groceries;Clothing;Stationery","1","4","3","3","Yes","Yes","5","2","5","",""
"2024/08/06 5:56:45 AM GMT+5:30","evansmichael@example.org","Kanpur","2023-05-03","01:33 PM","Female","45-54","Weekly","Electronics;Hygiene & Sanitation;Toys & Games","4","1","3","4","No","Yes","2","4","3","",""
"2024/08/06 5:57:09 AM GMT+5:30","christopherclark@example.net","Lucknow","2023-12-07","09:12 AM","Female","35-44","Bi-weekly","Groceries;Electronics;Stationery","5","2","5","5","Yes","No","4","4","1","",""
"2024/08/06 5:57:34 AM GMT+5:30","larrymyers@example.com","Chennai","2023-02-28","09:50 AM","Male","55-64","Weekly","Groceries;Electronics;Stationery","5","4","1","4","No","No","1","2","5","",""
"2024/08/06 5:57:59 AM GMT+5:30","wendyhill@example.com","Bangalore","2023-12-16","08:21 AM","Male","Under 18","Weekly","Groceries;Electronics;Toys & Games;Stationery","5","1","5","5","Yes","Yes","4","2","2","",""
"2024/08/06 5:58:23 AM GMT+5:30","barbaraanderson@example.net","Kolkata","2023-03-23","01:38 PM","Male","55-64","Occasioanlly","Groceries","4","4","4","2","Yes","No","2","1","2","",""
"2024/08/06 5:58:47 AM GMT+5:30","scottkayla@example.net","Chennai","2023-04-18","03:09 PM","Male","25-34","Daily","Clothing","3","2","2","5","Yes","No","4","3","5","",""
"2024/08/06 5:59:17 AM GMT+5:30","brettmartin@example.com","Chennai","2023-10-23","02:34 PM","Female","45-54","Bi-weekly","Hygiene & Sanitation;Toys & Games","5","1","2","4","No","Yes","5","5","4","",""
"2024/08/06 5:59:41 AM GMT+5:30","alejandro67@example.com","Chennai","2023-08-27","06:44 PM","Male","55-64","Monthly","Electronics","1","4","5","3","Yes","No","3","3","2","",""
"2024/08/06 6:00:06 AM GMT+5:30","pcunningham@example.org","Kolkata","2023-02-07","04:16 PM","Male","35-44","Daily","Toys & Games","4","2","1","3","No","No","2","4","2","",""
"2024/08/06 6:00:31 AM GMT+5:30","ijackson@example.com","Hyderabad","2023-07-13","11:35 AM","Female","55-64","Daily","Clothing;Home & Kitchen","4","4","1","1","Yes","Yes","5","2","4","",""
"2024/08/06 6:01:00 AM GMT+5:30","robertwolf@example.net","Dehradun","2023-11-26","09:13 AM","Male","18-24","Weekly","Electronics;Hygiene & Sanitation;Stationery","1","3","2","5","No","No","3","3","3","",""
"2024/08/06 6:01:25 AM GMT+5:30","ecopeland@example.org","Delhi","2023-05-02","08:57 PM","Female","65 and above","Daily","Groceries;Hygiene & Sanitation","4","5","3","5","Yes","No","3","5","2","",""
"2024/08/06 6:01:53 AM GMT+5:30","michellearmstrong@example.org","Chennai","2023-07-01","02:14 PM","Female","65 and above","Occasioanlly","Groceries;Clothing;Hygiene & Sanitation","2","4","1","1","Yes","No","2","5","2","",""
"2024/08/06 6:02:18 AM GMT+5:30","dennisbush@example.com","Kanpur","2023-11-19","02:44 PM","Male","65 and above","Weekly","Toys & Games","3","4","2","1","No","Yes","5","1","3","",""
"2024/08/06 6:02:42 AM GMT+5:30","derrickcisneros@example.net","Pune","2023-05-25","01:39 PM","Male","65 and above","Occasioanlly","Electronics","3","1","4","4","No","No","5","5","1","",""
"2024/08/06 6:03:07 AM GMT+5:30","kcowan@example.net","Kolkata","2023-08-29","09:46 AM","Female","65 and above","Weekly","Groceries","2","5","4","2","No","Yes","3","3","3","",""
"2024/08/06 6:03:37 AM GMT+5:30","tamaragarza@example.com","Jaipur","2023-01-20","07:43 PM","Female","65 and above","Weekly","Electronics;Hygiene & Sanitation","2","1","2","3","Yes","No","5","1","4","",""
"2024/08/06 6:04:01 AM GMT+5:30","nbeard@example.com","Jaipur","2023-12-12","10:10 AM","Male","65 and above","Monthly","Clothing","5","5","2","5","No","Yes","5","1","3","",""
"2024/08/06 6:04:29 AM GMT+5:30","johnsonapril@example.org","Ludhiana","2023-08-21","06:56 PM","Female","55-64","Monthly","Home & Kitchen;Toys & Games;Stationery","1","1","4","4","Yes","No","5","3","4","",""
"2024/08/06 6:04:53 AM GMT+5:30","sanchezjessica@example.com","Dehradun","2023-07-23","02:27 PM","Male","25-34","Daily","Electronics;Home & Kitchen;Hygiene & Sanitation","3","5","4","1","Yes","Yes","5","5","2","",""
"2024/08/06 6:05:17 AM GMT+5:30","melissamack@example.net","Hyderabad","2023-03-04","01:40 PM","Male","65 and above","Monthly","Electronics","4","3","2","1","Yes","Yes","2","5","1","",""
"2024/08/06 6:05:47 AM GMT+5:30","mary30@example.org","Chennai","2023-02-24","08:55 PM","Female","35-44","Occasioanlly","Clothing;Electronics;Home & Kitchen;Stationery","5","2","5","4","No","Yes","4","3","4","",""
"2024/08/06 6:06:14 AM GMT+5:30","ielliott@example.com","Ludhiana","2023-07-13","03:36 PM","Male","18-24","Weekly","Groceries;Clothing;Electronics;Home & Kitchen;Hygiene & Sanitation","3","2","3","1","Yes","Yes","1","4","1","",""
